Census Tract,2023 Total Population
010070100.05,"4,105"
010070100.06,"1,751"
010090501.03,"1,725"
010090501.04,"2,073"
010090501.05,"5,577"
010090501.06,"2,979"
010090501.07,"3,045"
010090502.00,"3,883"
010090503.01,"2,832"
010090503.02,"2,469"
010090504.00,"4,584"
010090505.01,"4,500"
010090505.02,"3,171"
010090506.01,"4,232"
010090506.03,"3,999"
010090506.04,"5,380"
010090507.01,"5,971"
010090507.02,"3,174"
010150002.00,"2,878"
010150003.00,"2,279"
010150004.00,"2,308"
010150005.00,"1,066"
010150006.00,"1,738"
010150007.00,"2,921"
010150008.00,"1,722"
010150009.00,"3,371"
010150010.00,"5,596"
010150011.01,"1,891"
010150011.02,"1,492"
010150011.03,"3,582"
010150012.01,"3,311"
010150012.02,"4,185"
010150013.00,"1,952"
010150014.00,"3,148"
010150015.01,"3,429"
010150015.02,"1,692"
010150016.00,"3,485"
010150017.00,"5,871"
010150018.01,"2,375"
010150018.02,"4,370"
010150020.01,"2,742"
010150020.02,"4,845"
010150021.01,"5,247"
010150021.02,"3,151"
010150021.04,"4,101"
010150021.05,"2,877"
010150022.00,"3,639"
010150023.00,"3,652"
010150024.00,"4,420"
010150025.02,"4,524"
010150025.03,"3,776"
010150025.04,"3,130"
010150026.00,"4,527"
010159819.01,14
010159819.02,5
010159819.03,0
010199557.01,"3,278"
010199557.02,"3,674"
010199558.01,"2,161"
010199558.02,"3,057"
010199559.00,"4,161"
010199560.00,"3,957"
010199561.01,"1,859"
010199561.02,"2,576"
010279589.00,"5,644"
010279590.00,"3,185"
010279591.00,"2,997"
010279592.00,"2,547"
010299595.00,"2,621"
010299596.00,"4,197"
010299597.00,"3,508"
010299598.00,"4,813"
010330201.00,"3,872"
010330202.00,"1,946"
010330203.00,"2,325"
010330204.00,"1,603"
010330205.00,"5,099"
010330206.00,"4,882"
010330207.03,"6,922"
010330207.04,"4,690"
010330207.05,"1,525"
010330207.06,"6,154"
010330208.01,"4,269"
010330208.02,"3,395"
010330209.01,"4,238"
010330209.02,"3,649"
010330210.00,"3,750"
010439641.00,"6,277"
010439642.01,"3,675"
010439642.02,"4,170"
010439643.00,"5,483"
010439644.00,"4,638"
010439645.00,"4,697"
010439646.00,"4,190"
010439647.00,"5,493"
010439648.00,"4,648"
010439649.01,"3,536"
010439649.02,"4,432"
010439650.01,"2,931"
010439650.02,"4,796"
010439651.00,"4,435"
010439652.00,"2,515"
010439653.00,"5,044"
010439654.01,"3,144"
010439654.02,"4,601"
010439655.01,"1,471"
010439655.02,"4,681"
010439656.00,"2,559"
010439657.00,"3,106"
010499601.01,"1,806"
010499601.02,"3,670"
010499602.00,"3,466"
010499603.01,935
010499603.02,"1,370"
010499603.03,"4,555"
010499604.01,"1,260"
010499604.02,"5,805"
010499605.00,"5,102"
010499606.01,"1,552"
010499606.02,"4,882"
010499607.01,"2,273"
010499607.02,"1,294"
010499607.03,"5,074"
010499608.00,"4,623"
010499609.00,"4,038"
010499610.00,"4,045"
010499611.00,"3,280"
010499612.00,"2,444"
010499613.00,"5,891"
010499614.00,"4,175"
010550002.00,"2,936"
010550003.00,"2,388"
010550004.00,"3,847"
010550005.00,"1,794"
010550006.00,"1,809"
010550007.00,"1,145"
010550008.00,904
010550009.00,"2,518"
010550010.00,"1,193"
010550011.00,"5,261"
010550012.00,"3,260"
010550013.00,"2,285"
010550016.00,"3,248"
010550017.00,"1,435"
010550101.00,"2,007"
010550102.01,"2,648"
010550102.02,"2,514"
010550103.00,"2,746"
010550104.01,"3,372"
010550104.02,"6,150"
010550105.03,"4,343"
010550105.04,"4,780"
010550105.05,"2,886"
010550105.06,"2,347"
010550106.01,"5,659"
010550106.02,"3,913"
010550107.00,"3,569"
010550108.00,"2,785"
010550109.00,"1,755"
010550110.01,"4,701"
010550110.02,"4,767"
010550111.00,"5,389"
010550112.00,"2,568"
010570200.00,"1,486"
010570201.00,"3,413"
010570202.00,"4,062"
010570203.00,"3,471"
010570204.00,"3,543"
010599729.00,"3,875"
010599730.00,"6,172"
010599731.00,"2,465"
010599732.00,"4,225"
010599733.00,"3,234"
010599734.00,"2,662"
010599735.00,"2,206"
010599736.00,"1,751"
010599737.01,"1,397"
010599737.02,955
010599737.03,"3,034"
010719501.01,"2,907"
