Census Tract,2023 Median Household Income
010730055.00,"$22,672"
010730056.00,"$64,496"
010730057.01,"$37,745"
010730057.02,"$28,369"
010730058.00,"$38,535"
010730059.03,"$51,954"
010730059.05,"$50,301"
010730059.07,"$56,631"
010730059.08,"$36,198"
010730059.09,"$52,289"
010730059.10,"$56,645"
010730100.01,"$41,306"
010730100.02,"$53,693"
010730101.00,"$16,187"
010730102.00,"$31,809"
010730103.01,"$28,349"
010730103.02,"$19,591"
010730104.01,"$39,073"
010730104.02,"$48,565"
010730105.00,"$29,910"
010730106.03,"$48,388"
010730106.04,"$35,594"
010730106.05,"$49,273"
010730107.01,"$75,721"
010730107.02,"$96,350"
010730107.03,"$167,748"
010730107.04,"$73,822"
010730107.05,"$119,753"
010730107.06,"$58,783"
010730108.01,"$131,500"
010730108.02,"$189,382"
010730108.03,"$89,144"
010730108.04,"$171,624"
010730108.06,"$130,365"
010730108.07,"$112,662"
010730109.00,"$37,012"
010730110.02,"$40,062"
010730110.03,"$55,963"
010730110.04,"$68,264"
010730111.08,"$79,910"
010730111.09,"$114,766"
010730111.10,"$79,555"
010730111.12,"$47,733"
010730111.13,"$56,223"
010730111.14,"$106,825"
010730111.15,"$84,194"
010730111.16,"$99,552"
010730111.17,"$76,837"
010730112.05,"$68,254"
010730112.06,"$68,086"
010730112.07,"$49,355"
010730112.08,"$70,967"
010730112.09,"$43,019"
010730112.10,"$45,355"
010730113.01,"$59,609"
010730113.03,"$82,903"
010730113.04,"$78,191"
010730114.01,"$36,651"
010730114.02,"$76,673"
010730115.00,"$54,317"
010730116.00,"$61,559"
010730117.04,"$70,440"
010730117.06,"$58,701"
010730117.07,"$57,497"
010730117.08,"$84,652"
010730117.09,"$76,845"
010730117.10,"$62,761"
010730118.03,"$40,878"
010730118.04,"$41,451"
010730118.05,"$43,928"
010730118.06,"$36,751"
010730119.01,"$27,199"
010730119.04,"$50,940"
010730120.01,"$63,770"
010730120.03,"$67,554"
010730120.04,"$64,855"
010730121.03,"$57,952"
010730121.04,"$47,272"
010730122.00,"$63,098"
010730123.02,"$71,238"
010730123.04,"$62,481"
010730123.06,"$86,373"
010730123.07,"$65,683"
010730124.01,"$61,871"
010730124.02,"$47,692"
010730124.03,"$53,896"
010730125.00,"$46,916"
010730126.02,"$46,308"
010730127.01,"$63,614"
010730127.03,"$163,719"
010730127.04,"$89,426"
010730128.02,"$79,733"
010730128.04,"$87,179"
010730128.05,"$82,314"
010730129.05,"$182,797"
010730129.07,"$65,320"
010730129.08,"$49,594"
010730129.10,"$82,434"
010730129.11,"$162,166"
010730129.13,"$56,775"
010730129.14,"$54,898"
010730129.16,"$100,272"
010730129.17,"$76,541"
010730129.18,"$48,237"
010730129.19,"$45,780"
010730129.20,"$57,258"
010730129.21,"$123,983"
010730130.02,"$26,552"
010730131.00,"$31,087"
010730132.00,"$46,990"
010730133.00,"$37,809"
010730134.00,"$50,345"
010730136.01,"$32,563"
010730138.01,"$33,148"
010730139.01,"$48,466"
010730139.02,"$58,667"
010730140.01,"$65,241"
010730140.02,"$82,076"
