Census Tract,2023 Median Household Income
130670303.69,"$197,602"
130670303.70,"$200,001"
130670304.05,"$60,962"
130670304.07,"$94,644"
130670304.08,"$98,168"
130670304.09,"$137,544"
130670304.10,"$79,712"
130670304.11,"$46,997"
130670304.12,"$53,739"
130670304.13,"$54,273"
130670304.14,"$42,179"
130670305.05,"$59,457"
130670305.06,"$69,324"
130670305.07,"$111,005"
130670305.08,"$90,836"
130670305.09,"$133,054"
130670305.10,"$131,941"
130670305.11,"$90,214"
130670306.02,"$111,832"
130670306.03,"$80,133"
130670306.04,"$76,213"
130670307.00,"$55,438"
130670308.00,"$70,736"
130670309.06,"$93,475"
130670309.07,"$106,199"
130670309.08,"$77,711"
130670309.09,"$86,360"
130670309.10,"$51,118"
130670309.11,"$48,619"
130670309.12,"$65,318"
130670310.01,"$46,835"
130670310.04,"$49,148"
130670310.05,"$82,821"
130670310.06,"$58,087"
130670310.07,"$44,988"
130670311.01,"$72,773"
130670311.10,"$88,021"
130670311.11,"$102,028"
130670311.12,"$125,954"
130670311.13,"$55,973"
130670311.14,"$64,689"
130670311.15,"$88,854"
130670311.16,"$62,306"
130670311.17,"$116,036"
130670311.18,"$103,314"
130670311.19,"$61,076"
130670311.20,"$112,175"
130670311.21,"$64,999"
130670311.22,"$80,283"
130670312.07,"$93,498"
130670312.09,"$166,153"
130670312.12,"$200,001"
130670312.13,"$109,474"
130670312.14,"$104,404"
130670312.15,"$113,629"
130670312.16,"$96,464"
130670312.17,"$75,499"
130670312.18,"$97,884"
130670312.19,"$81,539"
130670312.20,"$84,646"
130670312.21,"$99,162"
130670313.06,"$82,559"
130670313.08,"$64,848"
130670313.14,"$119,346"
130670313.15,"$163,304"
130670313.16,"$134,582"
130670313.17,"$77,415"
130670313.18,"$57,707"
130670313.19,"$40,999"
130670313.20,"$47,103"
130670313.21,"$45,938"
130670313.22,"$59,384"
130670313.23,"$64,315"
130670313.24,"$76,739"
130670313.25,"$114,577"
130670314.09,"$63,277"
130670314.10,"$102,871"
130670314.11,"$61,841"
130670314.12,"$51,770"
130670314.13,"$49,618"
130670314.14,"$102,701"
130670314.15,"$58,125"
130670314.16,"$78,202"
130670314.17,"$58,613"
130670315.06,"$76,683"
130670315.07,"$82,768"
130670315.10,"$78,941"
130670315.11,"$97,452"
130670315.12,"$79,897"
130670315.13,"$86,000"
130670315.14,"$110,996"
130670315.15,"$100,475"
130670315.16,"$87,277"
130670315.17,"$103,926"
130670315.18,"$63,247"
130771701.01,"$85,154"
130771701.02,"$74,400"
130771702.00,"$67,405"
130771703.03,"$132,385"
130771703.04,"$91,018"
130771703.07,"$53,268"
130771703.08,"$56,401"
130771703.09,"$85,634"
130771703.10,"$92,315"
130771704.03,"$120,251"
130771704.04,"$104,235"
130771704.05,"$95,090"
130771704.06,"$120,323"
130771704.07,"$50,870"
130771704.08,"$127,490"
130771705.01,"$84,619"
130771705.02,"$85,515"
130771705.03,"$97,508"
130771706.03,"$101,170"
130771706.04,"$59,162"
130771706.05,"$33,948"
130771706.06,"$115,393"
130771706.07,"$127,054"
130771707.01,"$76,171"
130771707.02,"$71,665"
130771708.01,"$79,731"
130771708.02,"$84,273"
130830401.02,"$42,580"
130830401.03,"$47,796"
130830401.04,"$45,683"
130830402.00,"$64,602"
130830403.00,"$61,500"
130859701.01,"$97,406"
130859701.02,"$68,377"
130859701.03,"$64,261"
130859702.03,"$124,595"
130859702.04,"$79,291"
130859702.05,"$69,519"
130859702.06,"$96,261"
130890201.00,"$200,001"
130890202.00,"$103,681"
130890203.00,"$175,991"
130890204.00,"$161,316"
130890205.00,"$92,832"
130890206.00,"$91,224"
130890207.00,"$91,540"
130890208.01,"$124,050"
130890208.02,"$105,949"
130890209.01,"$107,151"
130890209.02,"$73,254"
130890211.01,"$200,001"
130890211.03,"$128,689"
130890211.04,"$106,213"
130890212.04,"$32,670"
130890212.08,"$82,903"
130890212.10,"$191,894"
130890212.11,"$131,102"
130890212.13,"$196,057"
130890212.17,"$117,009"
130890212.19,"$176,266"
130890212.20,"$126,995"
130890212.21,"$101,932"
130890212.22,"$97,633"
130890212.23,"$113,217"
130890212.24,"$64,904"
130890212.25,"$70,378"
130890212.26,"$92,302"
130890212.27,"$97,384"
130890212.28,"$200,001"
130890212.29,"$170,729"
130890212.30,"$111,099"
130890213.01,"$57,418"
130890213.05,"$69,314"
130890213.06,"$57,805"
130890213.07,"$64,221"
130890213.08,"$70,333"
130890213.09,"$51,811"
130890213.10,"$49,666"
130890214.05,"$154,260"
130890214.09,"$75,994"
130890214.10,"$80,444"
130890214.11,"$133,267"
130890214.12,"$162,329"
130890214.15,"$134,726"
130890214.16,"$134,767"
130890214.17,"$61,697"
130890214.18,"$50,560"
130890214.19,"$78,666"
130890214.20,"$55,630"
130890214.21,"$68,880"
130890215.02,"$92,703"
130890215.03,"$76,870"
130890215.05,"$108,638"
130890215.06,"$97,466"
130890216.02,"$106,653"
130890216.04,"$200,001"
130890216.06,"$77,865"
130890216.07,"$84,956"
130890216.08,"$76,298"
130890216.09,"$136,801"
130890217.03,"$178,344"
130890217.07,"$133,088"
130890217.08,"$92,157"
130890217.09,"$67,816"
130890217.10,"$161,722"
130890217.11,"$66,009"
130890217.12,"$48,863"
130890218.08,"$109,885"
130890218.12,"$84,253"
130890218.13,"$45,938"
130890218.15,"$38,165"
130890218.16,"$76,942"
130890218.17,"$111,286"
130890218.18,"$87,005"
130890218.19,"$109,367"
130890218.20,"$59,162"
130890218.21,"$134,281"
130890218.22,"$100,208"
130890218.23,"$88,030"
130890218.24,"$53,900"
130890219.06,"$49,815"
130890219.08,"$45,316"
130890219.10,"$47,464"
130890219.11,"$34,642"
130890219.12,"$178,427"
130890219.13,"$31,734"
130890219.14,"$47,550"
130890219.15,"$95,450"
130890219.16,"$47,187"
130890219.17,"$40,143"
130890220.01,"$79,413"
130890220.05,"$45,750"
130890220.07,"$45,729"
130890220.10,"$75,683"
130890220.11,"$43,763"
130890220.12,"$37,471"
130890220.13,"$51,081"
130890220.14,"$39,757"
130890220.15,"$76,771"
130890220.16,"$58,286"
130890221.00,"$60,827"
130890222.03,"$80,806"
130890222.05,"$79,695"
130890222.06,"$76,300"
130890223.02,"$100,737"
130890223.03,"$89,257"
130890223.04,"$89,477"
130890224.01,"$132,666"
130890224.03,"$200,001"
130890224.04,"$38,280"
130890224.05,"$58,934"
130890225.01,"$102,873"
130890225.02,"$200,001"
130890226.01,"$90,543"
130890226.02,"$179,441"
130890227.00,"$160,514"
130890228.00,"$163,583"
130890229.00,"$103,723"
130890230.00,"$104,966"
130890231.01,"$72,931"
130890231.02,"$49,729"
130890231.07,"$58,087"
130890231.08,"$37,448"
130890231.11,"$60,436"
130890231.12,"$36,969"
130890231.13,"$52,703"
130890231.14,"$53,878"
130890231.15,"$60,207"
130890232.09,"$72,065"
130890232.11,"$68,539"
130890232.12,"$63,030"
130890232.13,"$57,599"
130890232.14,"$53,225"
130890232.15,"$48,419"
130890232.16,"$58,090"
130890232.17,"$65,433"
130890232.18,"$31,697"
130890232.19,"$64,293"
130890232.20,"$65,109"
130890232.21,"$56,638"
130890232.22,"$43,297"
130890233.11,"$82,554"
130890233.13,"$60,007"
130890233.15,"$85,793"
130890233.17,"$27,716"
130890233.18,"$87,389"
130890233.19,"$58,273"
130890233.20,"$33,146"
130890233.21,"$59,826"
130890233.22,"$64,869"
130890233.23,"$86,253"
130890233.24,"$87,532"
130890233.25,"$90,699"
130890233.26,"$72,965"
130890233.27,"$52,558"
130890233.28,"$61,677"
130890233.29,"$66,750"
130890233.30,"$101,254"
130890233.31,"$52,706"
130890233.32,"$65,430"
130890234.10,"$45,028"
130890234.11,"$51,676"
130890234.13,"$78,682"
130890234.22,"$69,241"
130890234.24,"$77,738"
130890234.25,"$77,362"
130890234.26,"$78,419"
130890234.27,"$73,541"
130890234.29,"$43,314"
130890234.30,"$40,034"
130890234.31,"$49,575"
130890234.32,"$78,943"
130890234.33,"$65,838"
130890234.34,"$86,968"
130890234.35,"$52,634"
130890234.36,"$64,546"
130890234.37,"$80,214"
130890234.38,"$60,056"
130890234.39,"$36,450"
130890234.40,"$58,612"
130890234.41,"$66,413"
130890234.42,"$82,935"
130890234.43,"$90,014"
130890234.44,"$86,149"
130890234.45,"$58,867"
130890234.46,"$36,683"
130890234.47,"$65,690"
130890234.48,"$73,166"
130890235.01,"$44,261"
130890235.04,"$43,216"
130890235.05,"$48,772"
130890235.06,"$55,706"
130890235.07,"$51,457"
130890236.01,"$82,178"
130890236.02,"$57,409"
130890236.03,"$40,811"
130890237.01,"$59,924"
130890237.02,"$45,023"
130890238.01,"$104,185"
130890238.02,"$73,047"
130890238.03,"$74,339"
130899800.00,$0
130970801.04,"$45,594"
130970801.05,"$82,873"
130970801.06,"$45,563"
130970801.07,"$45,906"
130970802.01,"$63,705"
130970802.03,"$62,631"
130970802.04,"$51,226"
130970803.03,"$45,375"
130970803.04,"$44,363"
130970803.05,"$61,096"
130970803.06,"$50,000"
130970803.07,"$58,618"
130970804.03,"$99,868"
130970804.05,"$108,715"
130970804.06,"$88,745"
130970804.07,"$81,076"
130970804.08,"$56,400"
130970805.05,"$54,882"
130970805.06,"$64,683"
130970805.07,"$83,113"
130970805.08,"$62,479"
130970805.09,"$100,119"
130970805.12,"$76,791"
130970805.13,"$84,477"
130970805.14,"$119,610"
130970805.15,"$105,605"
130970806.02,"$94,931"
130970806.05,"$66,691"
130970806.06,"$83,722"
130970806.07,"$110,723"
130970806.08,"$75,040"
131110501.00,"$50,628"
131110502.00,"$52,448"
131110503.00,"$52,662"
131110504.00,"$51,668"
131110505.00,"$64,898"
131131401.02,"$75,728"
131131401.03,"$77,098"
131131401.04,"$86,099"
131131402.03,"$97,041"
131131402.04,"$85,405"
131131402.06,"$120,037"
131131402.07,"$109,528"
131131402.09,"$86,446"
131131402.10,"$100,482"
131131403.03,"$96,751"
131131403.04,"$95,089"
131131403.05,"$107,240"
131131403.07,"$200,001"
131131403.08,"$113,440"
131131403.09,"$65,010"
131131404.03,"$95,925"
131131404.04,"$79,862"
131131404.05,"$107,313"
131131404.06,"$60,828"
131131404.08,"$103,359"
131131404.09,"$95,464"
131131404.10,"$59,807"
131131405.01,"$111,235"
131131405.02,"$92,060"
131150001.00,"$56,770"
131150002.02,"$83,663"
131150002.03,"$70,717"
131150002.04,"$69,856"
131150003.00,"$66,222"
131150004.01,"$61,427"
131150004.02,"$106,625"
131150004.03,"$69,719"
131150005.00,"$37,789"
131150006.00,"$39,210"
131150007.00,"$75,231"
131150008.00,"$77,480"
131150009.00,"$77,353"
131150011.00,"$40,298"
131150012.00,"$57,296"
131150013.01,"$41,240"
131150013.02,"$55,410"
131150014.00,"$79,559"
131150016.00,"$37,112"
131150017.03,"$68,651"
131150017.04,"$63,073"
131150017.05,"$49,167"
131150017.06,"$56,710"
131150018.00,"$48,855"
131150020.00,"$63,765"
131150021.00,"$39,866"
131171301.01,"$114,936"
131171301.02,"$94,706"
131171301.03,"$89,565"
131171301.05,"$71,417"
131171302.01,"$117,145"
131171302.02,"$125,817"
131171302.03,"$101,637"
131171302.04,"$106,078"
131171302.05,"$101,975"
131171303.01,"$127,634"
131171303.02,"$146,796"
131171303.03,"$106,829"
131171303.04,"$155,440"
131171303.05,"$133,597"
131171303.06,"$136,381"
131171303.07,"$133,319"
131171304.06,"$92,133"
131171304.09,"$79,877"
131171304.10,"$94,587"
131171304.11,"$98,389"
131171304.12,"$112,479"
131171304.13,"$71,267"
131171304.14,"$140,313"
131171304.15,"$109,138"
131171305.03,"$141,288"
131171305.04,"$89,331"
131171305.05,"$107,137"
131171305.06,"$97,518"
131171305.07,"$94,124"
131171305.08,"$140,722"
131171305.09,"$117,376"
131171305.11,"$165,014"
131171305.12,"$144,818"
131171306.01,"$103,948"
131171306.02,"$116,956"
131171306.03,"$150,315"
131171306.04,"$174,254"
131171306.05,"$147,126"
131171306.06,"$134,549"
131171306.07,"$161,541"
131171306.08,"$146,381"
131171306.09,"$148,413"
131171306.10,"$174,830"
131171306.11,"$172,406"
131171306.13,"$133,215"
131171306.14,"$119,142"
131171306.15,"$200,001"
131210001.00,"$172,147"
131210002.01,"$139,263"
131210002.02,"$200,001"
131210004.00,"$147,763"
131210005.01,"$88,592"
131210005.02,"$120,288"
131210006.01,"$85,138"
131210006.02,"$59,686"
131210007.00,"$110,944"
131210010.01,"$109,716"
131210010.02,"$45,418"
131210011.01,"$117,509"
131210011.02,"$151,297"
131210012.03,"$72,712"
131210012.04,"$117,692"
131210012.05,"$82,455"
131210012.06,"$120,544"
131210013.01,"$75,913"
131210013.02,"$115,272"
131210014.00,"$93,879"
131210015.01,"$80,705"
131210015.02,"$78,803"
131210016.00,"$107,471"
131210017.01,"$94,873"
131210017.02,"$114,752"
131210018.01,"$49,484"
131210018.02,"$83,267"
131210019.01,"$20,154"
131210019.02,"$75,451"
131210021.00,"$97,767"
131210023.00,"$32,350"
131210024.00,"$37,255"
131210025.00,"$35,511"
131210026.00,"$35,410"
131210028.01,"$70,756"
131210028.02,"$28,404"
131210029.00,"$100,000"
131210030.00,"$142,381"
131210031.00,"$110,946"
131210032.00,"$117,430"
131210035.00,"$61,858"
131210036.00,"$72,255"
131210037.00,"$23,112"
131210038.00,"$24,411"
131210039.00,"$37,809"
131210040.00,"$44,308"
131210041.00,"$77,129"
131210042.00,"$25,863"
131210043.00,"$67,880"
131210044.00,"$23,108"
131210048.00,"$17,142"
131210049.00,"$108,257"
131210050.00,"$97,833"
131210052.00,"$138,078"
131210053.00,"$136,474"
131210055.01,"$45,785"
131210055.03,"$24,501"
131210055.04,"$49,430"
131210057.00,"$35,349"
131210058.00,"$62,319"
131210060.00,"$51,949"
131210061.00,"$31,961"
131210062.00,"$48,880"
131210063.00,"$40,957"
131210064.00,"$42,307"
131210065.00,"$60,051"
131210066.01,"$63,915"
131210066.02,"$26,237"
131210067.01,"$29,341"
131210067.02,"$39,350"
131210068.01,"$75,000"
131210068.02,"$14,473"
131210069.00,"$83,330"
131210070.01,"$31,582"
131210070.02,"$48,359"
131210071.00,"$29,055"
131210072.00,"$58,795"
131210073.01,"$37,883"
131210073.02,"$26,784"
131210074.00,"$25,691"
131210075.00,"$28,866"
131210076.02,"$41,245"
131210076.03,"$12,991"
131210076.04,"$26,678"
131210077.03,"$53,553"
131210077.05,"$35,666"
131210077.07,"$61,330"
131210077.08,"$53,370"
131210077.09,"$82,557"
131210077.10,"$38,780"
131210077.11,"$53,405"
131210078.05,"$49,307"
131210078.06,"$53,731"
131210078.07,"$40,191"
131210078.08,"$13,632"
131210078.09,"$68,418"
131210078.10,"$50,463"
131210079.00,"$79,963"
131210080.00,"$52,820"
131210081.03,"$29,804"
131210081.04,"$50,631"
131210082.02,"$27,964"
131210082.03,"$39,988"
131210082.04,"$42,652"
131210083.01,"$31,165"
131210083.02,"$31,214"
131210084.00,"$25,658"
131210085.00,"$34,054"
131210086.01,"$24,268"
131210086.02,"$40,509"
131210087.01,"$32,677"
131210087.02,"$59,493"
131210088.01,"$122,392"
131210088.02,"$157,290"
131210089.03,"$83,881"
131210089.05,"$108,647"
131210089.06,"$160,151"
131210089.07,"$84,266"
131210089.08,"$64,094"
131210089.09,"$99,550"
131210090.01,"$72,361"
131210090.02,"$200,001"
131210091.03,"$96,022"
131210091.04,"$88,490"
131210091.05,"$200,001"
131210091.06,"$72,081"
131210092.01,"$63,754"
131210092.02,"$98,030"
131210092.03,"$84,625"
131210093.01,"$139,077"
131210093.02,"$130,211"
131210094.05,"$86,242"
131210094.06,"$87,044"
131210094.07,"$78,885"
131210094.08,"$60,125"
131210094.09,"$76,307"
131210094.10,"$93,853"
131210094.11,"$109,612"
131210095.01,"$200,001"
131210095.03,"$62,883"
131210095.04,"$108,213"
131210096.01,"$119,817"
131210096.04,"$85,700"
131210096.05,"$90,859"
131210096.06,"$200,001"
131210096.07,"$115,185"
131210097.00,"$200,001"
131210098.02,"$200,001"
131210098.03,"$120,325"
131210098.04,"$200,001"
131210099.00,"$186,859"
131210100.03,"$127,922"
131210100.04,"$200,001"
131210100.05,"$200,001"
131210100.06,"$108,837"
131210100.07,"$200,001"
131210101.06,"$92,521"
131210101.07,"$200,001"
131210101.08,"$142,809"
131210101.15,"$153,992"
131210101.17,"$70,255"
131210101.20,"$90,520"
131210101.21,"$113,141"
131210101.24,"$62,748"
131210101.25,"$79,440"
131210101.26,"$79,625"
131210101.27,"$115,905"
131210101.28,"$45,678"
131210101.29,"$102,031"
131210101.30,"$104,577"
131210101.31,"$109,000"
131210101.32,"$85,778"
131210101.33,"$95,399"
131210101.34,"$68,724"
131210101.35,"$57,806"
131210101.36,"$128,202"
131210101.37,"$84,590"
131210102.04,"$184,987"
131210102.11,"$189,478"
131210102.12,"$86,208"
131210102.13,"$58,517"
131210102.14,"$57,137"
131210102.15,"$121,718"
131210102.16,"$99,080"
131210102.17,"$95,185"
131210102.18,"$76,112"
131210102.19,"$82,172"
131210102.20,"$121,188"
131210102.21,"$108,619"
131210102.22,"$200,001"
131210102.23,"$190,434"
131210103.05,"$87,853"
131210103.06,"$124,659"
131210103.07,"$100,515"
131210103.08,"$95,648"
131210103.09,"$97,496"
131210103.10,"$85,097"
131210103.11,"$100,000"
131210103.12,"$96,254"
131210103.13,"$90,600"
131210103.14,"$112,093"
131210103.15,"$81,713"
131210104.01,"$55,331"
131210104.02,"$75,111"
131210105.08,"$70,338"
131210105.17,"$76,879"
131210105.18,"$72,309"
131210105.19,"$77,064"
131210105.20,"$68,687"
131210105.21,"$48,109"
131210105.22,"$53,172"
131210105.23,"$47,175"
131210105.24,"$50,416"
131210105.25,"$38,125"
131210105.26,"$66,407"
131210105.27,"$55,340"
131210105.28,"$41,617"
131210105.29,"$66,735"
131210105.30,"$59,137"
131210105.31,"$77,580"
131210105.32,"$47,109"
131210105.33,"$53,508"
131210105.34,"$43,422"
131210105.35,"$82,781"
131210105.36,"$83,690"
131210105.37,"$77,323"
131210105.38,"$86,661"
131210105.39,"$69,973"
131210105.40,"$72,016"
131210106.01,"$58,992"
131210106.03,"$52,640"
131210106.04,"$34,212"
131210108.01,"$71,632"
131210108.02,"$74,917"
131210110.00,"$39,595"
131210111.00,"$73,945"
131210112.02,"$51,873"
131210112.03,"$43,616"
131210112.04,"$50,025"
131210113.01,"$69,761"
131210113.06,"$43,453"
131210113.07,"$39,065"
131210113.08,"$41,787"
131210113.09,"$66,184"
131210113.10,"$45,024"
131210114.16,"$127,432"
131210114.17,"$100,872"
131210114.19,"$146,053"
131210114.21,"$72,565"
131210114.22,"$103,713"
131210114.23,"$153,744"
131210114.24,"$120,671"
131210114.26,"$148,415"
131210114.28,"$167,025"
131210114.29,"$124,711"
131210114.30,"$52,315"
131210114.31,"$86,079"
131210114.32,"$77,790"
131210114.33,"$165,137"
131210114.34,"$100,092"
131210114.35,"$85,554"
131210114.36,"$141,697"
131210114.37,"$108,885"
131210114.38,"$107,720"
131210114.39,"$150,564"
131210114.40,"$155,121"
131210114.41,"$112,456"
131210114.42,"$123,160"
131210114.43,"$169,355"
131210114.44,"$189,832"
131210114.45,"$165,932"
131210114.46,"$175,191"
131210115.05,"$179,930"
131210115.07,"$200,001"
131210115.08,"$200,001"
131210115.09,"$200,001"
131210115.10,"$197,214"
131210115.11,"$189,365"
131210115.12,"$200,001"
131210115.13,"$170,922"
131210115.14,"$200,001"
131210115.15,"$200,001"
131210116.12,"$179,139"
131210116.18,"$144,972"
131210116.24,"$200,001"
131210116.27,"$113,940"
131210116.28,"$106,680"
131210116.29,"$174,680"
131210116.30,"$143,564"
131210116.31,"$103,390"
131210116.32,"$128,459"
131210116.33,"$131,377"
131210116.34,"$103,210"
131210116.35,"$146,541"
131210116.36,"$84,040"
131210116.37,"$200,001"
131210116.38,"$134,508"
131210116.39,"$108,945"
131210116.40,"$128,919"
131210116.41,"$200,001"
131210116.42,"$103,983"
131210116.43,"$71,328"
131210116.44,"$104,404"
131210116.45,"$120,287"
131210116.46,"$97,954"
131210116.47,"$84,655"
131210116.48,"$161,465"
131210116.49,"$172,897"
131210116.50,"$131,060"
131210116.51,"$143,688"
131210116.52,"$105,472"
131210116.53,"$200,001"
131210116.54,"$128,817"
131210116.55,"$172,113"
131210116.56,"$182,987"
131210116.57,"$167,086"
131210116.58,"$140,297"
131210116.59,"$156,322"
131210116.60,"$111,398"
131210116.61,"$200,001"
131210118.01,"$54,868"
131210118.02,"$31,009"
131210119.01,"$42,944"
131210119.02,"$32,552"
131210120.00,"$20,792"
131210123.00,"$65,095"
131219800.00,$0
131230801.00,"$58,507"
131230802.00,"$66,977"
131230803.01,"$52,691"
131230803.02,"$57,462"
131230804.01,"$50,622"
131230804.02,"$72,139"
131230804.03,"$75,083"
131230805.00,"$61,058"
131299701.01,"$60,924"
131299701.02,"$46,097"
131299702.01,"$58,178"
131299702.02,"$75,675"
131299703.01,"$33,895"
131299703.02,"$51,577"
131299704.00,"$59,124"
131299705.00,"$54,502"
131299706.01,"$34,037"
131299706.02,"$38,247"
131299707.00,"$52,782"
131299708.01,"$87,145"
131299708.02,"$47,534"
131299709.01,"$79,981"
131299709.02,"$63,105"
131350501.05,"$57,818"
131350501.10,"$102,996"
131350501.11,"$59,863"
131350501.12,"$78,229"
131350501.13,"$68,897"
131350501.14,"$106,913"
131350501.16,"$156,929"
131350501.17,"$111,952"
131350501.18,"$89,719"
131350501.19,"$84,729"
131350501.20,"$121,206"
131350501.21,"$107,353"
131350502.05,"$68,041"
131350502.15,"$60,580"
131350502.18,"$78,536"
131350502.19,"$83,520"
131350502.21,"$60,464"
131350502.22,"$53,364"
131350502.23,"$69,003"
131350502.24,"$113,449"
131350502.26,"$79,431"
131350502.27,"$105,022"
131350502.28,"$54,721"
131350502.29,"$41,361"
131350502.30,"$51,988"
131350502.31,"$80,238"
131350502.32,"$104,093"
131350502.33,"$84,174"
131350502.34,"$114,728"
131350502.35,"$104,956"
131350502.36,"$65,476"
131350502.37,"$97,383"
131350502.38,"$92,141"
131350502.39,"$135,091"
131350502.40,"$150,252"
131350502.41,"$109,706"
131350502.42,"$113,668"
131350502.43,"$184,412"
131350502.44,"$184,016"
131350503.06,"$50,000"
131350503.08,"$181,458"
131350503.11,"$122,049"
131350503.15,"$57,245"
131350503.17,"$43,667"
131350503.18,"$48,502"
131350503.21,"$151,103"
131350503.22,"$163,717"
131350503.23,"$139,966"
131350503.24,"$69,316"
131350503.25,"$72,101"
131350503.26,"$46,548"
131350503.27,"$62,031"
131350503.28,"$52,015"
131350503.29,"$41,182"
131350503.30,"$56,308"
131350503.31,"$49,171"
131350503.32,"$53,042"
131350503.33,"$52,178"
131350503.34,"$59,243"
131350503.35,"$72,092"
131350503.36,"$81,792"
131350504.15,"$80,682"
131350504.16,"$75,898"
131350504.25,"$104,954"
131350504.27,"$94,076"
131350504.30,"$78,683"
131350504.33,"$56,381"
131350504.35,"$59,100"
131350504.37,"$55,811"
131350504.38,"$53,604"
131350504.39,"$50,312"
131350504.40,"$52,824"
131350504.41,"$44,666"
131350504.42,"$63,905"
131350504.43,"$74,246"
131350504.44,"$59,295"
131350504.45,"$39,982"
131350504.46,"$54,017"
131350504.47,"$39,923"
131350504.48,"$48,654"
131350504.49,"$49,736"
131350504.50,"$61,258"
131350504.51,"$40,492"
131350504.52,"$42,099"
131350504.53,"$41,322"
131350504.54,"$58,279"
131350504.55,"$50,539"
131350504.56,"$38,106"
131350504.57,"$110,586"
131350504.58,"$102,448"
131350504.59,"$57,744"
131350504.60,"$51,860"
131350504.61,"$77,482"
131350504.62,"$111,996"
131350504.63,"$45,676"
131350504.64,"$67,620"
131350504.65,"$76,688"
131350504.66,"$81,481"
131350505.20,"$56,461"
131350505.26,"$44,926"
131350505.29,"$69,845"
131350505.30,"$107,943"
131350505.36,"$71,899"
131350505.37,"$50,871"
131350505.39,"$52,722"
131350505.41,"$51,121"
131350505.42,"$46,619"
131350505.49,"$84,022"
131350505.50,"$70,256"
131350505.51,"$93,515"
131350505.52,"$103,086"
131350505.53,"$96,841"
131350505.54,"$58,602"
131350505.55,"$65,404"
131350505.56,"$84,384"
131350505.57,"$71,835"
131350505.58,"$79,762"
131350505.59,"$77,278"
131350505.60,"$117,985"
131350505.61,"$46,866"
131350505.62,"$59,199"
131350505.65,"$87,936"
131350505.66,"$86,269"
131350505.67,"$59,274"
131350505.68,"$84,560"
131350505.74,"$56,639"
131350505.75,"$95,425"
131350505.76,"$59,041"
131350505.77,"$57,819"
131350505.89,"$80,723"
131350505.90,"$98,358"
131350505.91,"$120,227"
131350507.15,"$87,126"
131350507.19,"$58,083"
131350507.22,"$76,881"
131350507.25,"$76,132"
131350507.29,"$64,534"
131350507.32,"$66,819"
131350507.33,"$62,585"
131350507.34,"$77,587"
131350507.38,"$105,996"
131350507.39,"$86,525"
131350507.49,"$84,968"
131350507.50,"$111,511"
131350507.56,"$125,872"
131350507.57,"$113,163"
131350507.60,"$128,133"
131350507.61,"$106,122"
131350507.62,"$109,501"
131350507.63,"$100,650"
131350507.64,"$90,525"
131350507.65,"$113,503"
131390015.02,"$89,788"
131430101.00,"$69,915"
131430102.01,"$51,414"
131430102.02,"$61,034"
131430103.01,"$73,738"
131430103.03,"$42,420"
131430103.04,"$73,428"
131430104.01,"$49,732"
131430104.02,"$61,082"
131499701.00,"$49,427"
131499702.00,"$63,618"
131499703.00,"$57,061"
131510701.09,"$72,446"
131510701.13,"$46,358"
131510701.14,"$52,071"
131510701.15,"$63,343"
131510701.16,"$80,299"
131510701.17,"$75,767"
131510701.18,"$88,490"
131510701.19,"$56,267"
131510701.20,"$76,421"
131510701.21,"$77,645"
131510701.22,"$75,504"
131510701.23,"$50,738"
131510701.24,"$79,996"
131510701.25,"$70,972"
131510701.26,"$55,724"
131510701.27,"$70,544"
131510701.28,"$67,062"
131510702.04,"$87,083"
131510702.06,"$90,308"
131510702.07,"$114,755"
131510702.08,"$97,855"
131510702.09,"$98,929"
131510702.10,"$122,114"
131510702.11,"$81,811"
131510702.12,"$57,593"
131510702.13,"$96,431"
131510702.14,"$103,886"
131510702.15,"$107,637"
131510702.16,"$120,045"
131510703.07,"$86,087"
131510703.10,"$92,888"
131510703.12,"$62,744"
131510703.13,"$97,054"
131510703.14,"$82,588"
131510703.15,"$107,221"
131510703.16,"$76,768"
131510703.17,"$62,643"
131510703.18,"$67,439"
131510703.19,"$80,884"
131510703.20,"$71,834"
131510703.21,"$80,293"
131510703.22,"$59,935"
131510703.23,"$39,944"
131510703.24,"$34,408"
131510703.25,"$37,094"
131510704.05,"$53,344"
131510704.06,"$57,841"
131510704.07,"$81,518"
131510704.08,"$65,472"
131510704.09,"$86,890"
131510704.10,"$77,842"
131510704.11,"$75,937"
131510704.12,"$76,187"
131510705.03,"$65,650"
131510705.04,"$52,765"
131510705.05,"$69,497"
131510705.06,"$84,379"
131510705.07,"$77,721"
131510705.08,"$99,102"
131879601.06,"$78,644"
131879602.03,"$65,410"
131879602.05,"$71,307"
131879602.06,"$59,769"
131999707.01,"$44,948"
131999707.02,"$66,145"
132130101.00,"$52,601"
132130102.01,"$55,928"
132130102.03,"$60,657"
132130102.04,"$64,657"
132130103.00,"$46,166"
132130104.01,"$50,312"
132130104.02,"$56,037"
132130105.00,"$59,466"
132130106.00,"$56,267"
132130107.00,"$48,636"
132171009.03,"$62,004"
132171009.05,"$71,821"
132231201.04,"$101,479"
132231201.05,"$144,790"
132231201.06,"$89,750"
132231201.07,"$112,015"
132231201.08,"$106,746"
132231201.09,"$108,738"
132231201.10,"$129,484"
132231201.11,"$111,022"
132231202.03,"$102,135"
132231202.05,"$116,703"
132231202.06,"$79,917"
132231202.07,"$105,676"
132231202.08,"$89,672"
132231203.01,"$59,776"
132231203.03,"$71,938"
